,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Buraydah,SA,81.05,overcast clouds,26.326,43.975,دنا للوحدات السكنية
2,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,Le Baril
3,Punta Arenas,CL,53.71,broken clouds,-53.15,-70.9167,Hotel Lacolet
4,Shingu,JP,44.31,clear sky,33.7333,135.9833,ホテルニューパレス
9,Puerto Ayora,EC,82.54,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
10,Hermanus,ZA,67.8,overcast clouds,-34.4187,19.2345,Aloe guest house
12,Thunder Bay,CA,31.98,overcast clouds,48.4001,-89.3168,Hampton Inn & Suites by Hilton Thunder Bay
13,Aljezur,PT,61.88,overcast clouds,37.3191,-8.8033,Vicentina Hotel
16,Hofn,IS,26.62,few clouds,64.2539,-15.2082,Guesthouse Dyngja
18,Ushuaia,AR,53.22,scattered clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
20,Cao Bang,VN,64.33,few clouds,22.6667,106.25,SONG HIEN HOTEL
21,Port Elizabeth,ZA,70.09,broken clouds,-33.918,25.5701,Waterford Hotel
22,San Angelo,US,64.62,overcast clouds,31.4638,-100.437,Hilton Hotel
23,Kahului,US,71.83,light rain,20.8947,-156.47,Maui Seaside Hotel
24,Rikitea,PF,80.2,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
25,Te Anau,NZ,46.81,broken clouds,-45.4167,167.7167,Distinction Hotel
26,Salalah,OM,84.29,clear sky,17.0151,54.0924,Muscat International Hotel
27,Chuy,UY,80.28,few clouds,-33.6971,-53.4616,Alerces
28,Waingapu,ID,77.54,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
29,Maceio,BR,90.84,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
30,Cidreira,BR,73.13,overcast clouds,-30.1811,-50.2056,Hotel Castelo
32,Huarmey,PE,76.89,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
35,Iskateley,RU,-16.53,broken clouds,67.6803,53.1512,Авантаж
36,Novy Hrozenkov,CZ,39.18,overcast clouds,49.337,18.1979,Hotel Permoník
38,Nanortalik,GL,35.67,clear sky,60.1432,-45.2371,Kap Farvel
39,Hobart,AU,58.86,light rain,-42.8794,147.3294,Vibe Hotel Hobart
40,Laguna,US,44.08,scattered clouds,38.421,-121.4238,Holiday Inn Express & Suites
41,Sao Filipe,CV,74.14,overcast clouds,14.8961,-24.4956,Bela Vista
42,Sitka,US,19.29,clear sky,57.0531,-135.33,Aspen Suites Hotel
44,Klaksvik,FO,31.12,light snow,62.2266,-6.589,Hotel Klaksvik
51,Huntsville,US,70.79,clear sky,34.7304,-86.5861,"106 Jefferson Huntsville, Curio Collection by Hilton"
52,Havre-Saint-Pierre,CA,30.56,scattered clouds,50.2334,-63.5986,Complexe MV
54,Shepsi,RU,41.47,overcast clouds,44.0361,39.1489,"База отдыха ""Юбилейный"""
55,La Palma,US,54.93,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
56,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
57,Bethel,US,49.03,clear sky,41.3712,-73.414,Hampton Inn Danbury
60,Timmins,CA,28.22,broken clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
61,San Quintin,MX,56.16,overcast clouds,30.4833,-115.95,Jardines Hotel
63,Shimoda,JP,51.6,clear sky,34.6667,138.95,ホテルウラガ
65,Marfino,RU,26.85,broken clouds,55.7028,37.3822,Можайская
66,Yulara,AU,74.82,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
67,Atuona,PF,79.97,light rain,-9.8,-139.0333,Pearl Resort
68,Vao,NC,76.48,overcast clouds,-22.6667,167.4833,Nataiwatch
69,Tiksi,RU,-9.74,overcast clouds,71.6872,128.8694,Арктика
70,Honiara,SB,77.54,overcast clouds,-9.4333,159.95,King Solomon Hotel
71,San Lorenzo,PY,85.59,clear sky,-25.3333,-57.5333,Hotel del Sur
72,Cape Town,ZA,74.12,few clouds,-33.9258,18.4232,Townhouse Hotel
74,Haines Junction,CA,4.95,light snow,60.7522,-137.5108,Parkside Inn
75,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti International Resort
77,Esperance,AU,60.8,scattered clouds,-33.8667,121.9,Hospitality
78,Fortuna,US,39.65,moderate rain,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
80,Neryungri,RU,-21.73,scattered clouds,56.6709,124.6491,DeLuxe
82,Morondava,MG,80.76,light rain,-20.2833,44.2833,Hotel Sharon Menabe
83,Jalu,LY,67.3,scattered clouds,29.0331,21.5482,فندق جالو السياحي
84,Qaanaaq,GL,16.61,overcast clouds,77.484,-69.3632,Hotel Qaanaaq
86,Coquimbo,CL,67.73,broken clouds,-29.9533,-71.3436,Hotel Iberia
88,Inta,RU,-16.78,broken clouds,66.0317,60.1659,Северянка
89,Hithadhoo,MV,82.4,clear sky,-0.6,73.0833,Pebbles Inn
90,Mahebourg,MU,79.09,light rain,-20.4081,57.7,Grand Bel Air
92,Kapaa,US,70.12,light rain,22.0752,-159.319,Pono Kai Resort
96,Longyearbyen,SJ,3.04,broken clouds,78.2186,15.6401,The Vault
97,Jamestown,US,35.71,overcast clouds,42.097,-79.2353,DoubleTree Jamestown
99,Hilo,US,73.27,clear sky,19.7297,-155.09,Dolphin Bay Hotel
100,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
