City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,-8.54,98,100,7.61,overcast clouds
1,Buraydah,SA,26.326,43.975,81.05,19,92,6.58,overcast clouds
2,Saint-Philippe,RE,-21.3585,55.7679,81.99,91,100,9.71,light rain
3,Punta Arenas,CL,-53.15,-70.9167,53.71,50,75,21.85,broken clouds
4,Shingu,JP,33.7333,135.9833,44.31,51,0,6.67,clear sky
5,Busselton,AU,-33.65,115.3333,57.96,77,0,12.95,clear sky
6,Barrow,US,71.2906,-156.7887,15.82,86,100,13.8,overcast clouds
7,Genhe,CN,50.7833,121.5167,-0.09,100,100,2.04,overcast clouds
8,Upernavik,GL,72.7868,-56.1549,21.2,82,50,1.83,scattered clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,82.54,82,51,1.99,broken clouds
10,Hermanus,ZA,-34.4187,19.2345,67.8,73,91,15.68,overcast clouds
11,Bluff,NZ,-46.6,168.3333,52.25,86,50,5.7,scattered clouds
12,Thunder Bay,CA,48.4001,-89.3168,31.98,86,100,3.44,overcast clouds
13,Aljezur,PT,37.3191,-8.8033,61.88,93,100,14.27,overcast clouds
14,Albany,US,42.6001,-73.9662,42.37,55,34,1.99,scattered clouds
15,Port Alfred,ZA,-33.5906,26.891,70.18,86,11,5.99,few clouds
16,Hofn,IS,64.2539,-15.2082,26.62,43,20,23.02,few clouds
17,Najran,SA,17.4924,44.1277,81.25,21,4,10.27,clear sky
18,Ushuaia,AR,-54.8,-68.3,53.22,50,40,13.8,scattered clouds
19,Nikolskoye,RU,59.7035,30.7861,28.29,96,100,3.27,overcast clouds
20,Cao Bang,VN,22.6667,106.25,64.33,75,21,3.62,few clouds
21,Port Elizabeth,ZA,-33.918,25.5701,70.09,89,75,11.5,broken clouds
22,San Angelo,US,31.4638,-100.437,64.62,79,100,11.5,overcast clouds
23,Kahului,US,20.8947,-156.47,71.83,87,20,16.11,light rain
24,Rikitea,PF,-23.1203,-134.9692,80.2,79,100,22.35,light rain
25,Te Anau,NZ,-45.4167,167.7167,46.81,91,63,2.21,broken clouds
26,Salalah,OM,17.0151,54.0924,84.29,32,0,4.61,clear sky
27,Chuy,UY,-33.6971,-53.4616,80.28,46,16,11.63,few clouds
28,Waingapu,ID,-9.6567,120.2641,77.54,85,98,5.75,overcast clouds
29,Maceio,BR,-9.6658,-35.7353,90.84,55,75,16.11,broken clouds
30,Cidreira,BR,-30.1811,-50.2056,73.13,95,100,12.15,overcast clouds
31,Santiago De Chuco,PE,-8.15,-78.1833,55.85,74,100,3.69,light rain
32,Huarmey,PE,-10.0681,-78.1522,76.89,71,98,4.9,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,43.77,98,45,2.73,scattered clouds
34,Clyde River,CA,70.4692,-68.5914,8.83,85,20,2.3,few clouds
35,Iskateley,RU,67.6803,53.1512,-16.53,95,76,4.9,broken clouds
36,Novy Hrozenkov,CZ,49.337,18.1979,39.18,92,100,5.35,overcast clouds
37,Pevek,RU,69.7008,170.3133,-34.67,99,37,5.46,scattered clouds
38,Nanortalik,GL,60.1432,-45.2371,35.67,91,5,4.43,clear sky
